,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Chelsea,West Ham,2,1,-1,0,0
2,West Ham,Bournemouth,1,0,1,1,0
3,Man City,West Ham,3,1,-2,0,0
4,West Ham,Watford,2,4,-2,0,0
5,West Brom,West Ham,4,2,-2,0,0
6,West Ham,Southampton,0,3,-3,0,0
7,West Ham,Middlesbrough,1,1,0,0,0
8,Crystal Palace,West Ham,0,1,1,1,0
9,West Ham,Sunderland,1,0,1,2,0
10,Everton,West Ham,2,0,-2,0,0
11,West Ham,Stoke,1,1,0,0,0
12,Tottenham,West Ham,3,2,-1,0,0
13,Man United,West Ham,1,1,0,0,0
14,West Ham,Arsenal,1,5,-4,0,0
15,Liverpool,West Ham,2,2,0,0,0
16,West Ham,Burnley,1,0,1,1,0
17,West Ham,Hull,1,0,1,2,0
18,Swansea,West Ham,1,4,3,3,1
19,Leicester,West Ham,1,0,-1,0,0
20,West Ham,Man United,0,2,-2,0,0
21,West Ham,Crystal Palace,3,0,3,1,0
22,Middlesbrough,West Ham,1,3,2,2,0
23,West Ham,Man City,0,4,-4,0,0
24,Southampton,West Ham,1,3,2,1,0
25,West Ham,West Brom,2,2,0,0,0
26,Watford,West Ham,1,1,0,0,0
27,West Ham,Chelsea,1,2,-1,0,0
28,Bournemouth,West Ham,3,2,-1,0,0
29,West Ham,Leicester,2,3,-1,0,0
30,Hull,West Ham,2,1,-1,0,0
31,Arsenal,West Ham,3,0,-3,0,0
32,West Ham,Swansea,1,0,1,1,0
33,Sunderland,West Ham,2,2,0,0,0
34,West Ham,Everton,0,0,0,0,0
35,Stoke,West Ham,0,0,0,0,0
36,West Ham,Tottenham,1,0,1,1,0
37,West Ham,Liverpool,0,4,-4,0,0
38,Burnley,West Ham,1,2,1,1,0
