Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Watford,0,2,1,-1,0,0,Loss,N Swarbrick,2.8,3.3,2.75,2.7,3.3,2.65
Middlesbrough,1,2,2,0,0,0,Draw,L Mason,1.91,3.6,4.5,1.85,3.4,4.6
Sunderland,0,2,1,-1,0,0,Loss,A Marriner,3.4,3.4,2.3,3.3,3.25,2.3
Man City,1,4,2,2,1,0,Win,M Oliver,5.25,4.0,1.7,4.75,4.0,1.7
Bournemouth,0,1,0,-1,0,0,Loss,P Tierney,2.4,3.4,3.2,2.35,3.4,3.0
Stoke,0,2,2,0,0,0,Draw,C Pawson,2.6,3.4,2.9,2.45,3.4,2.9
Everton,1,0,2,-2,0,0,Loss,S Attwell,2.5,3.3,2.9,2.4,3.3,2.85
West Ham,1,1,0,1,1,0,Win,A Taylor,2.1,3.6,3.7,2.05,3.5,3.6
Middlesbrough,0,0,0,0,0,0,Draw,R Madley,2.75,3.2,2.88,2.65,3.1,2.85
Chelsea,1,0,3,-3,0,0,Loss,A Marriner,6.0,4.1,1.62,5.75,3.8,1.62
Southampton,0,3,0,-3,0,0,Loss,M Oliver,1.83,3.5,5.25,1.83,3.5,4.6
Burnley,0,1,0,-1,0,0,Loss,M Dean,2.9,3.25,2.7,2.8,3.2,2.65
Man United,1,0,3,-3,0,0,Loss,A Taylor,5.75,4.0,1.65,5.25,3.8,1.67
Swansea,0,2,0,-2,0,0,Loss,J Moss,2.4,3.3,3.25,2.4,3.25,3.1
Liverpool,1,3,1,2,1,0,Win,M Oliver,5.5,4.2,1.65,5.75,4.0,1.6
Hull,1,3,1,2,2,0,Win,M Dean,1.85,3.6,4.75,1.85,3.5,4.5
West Ham,0,2,3,1,3,1,Win,R East,2.3,3.5,3.3,2.25,3.4,3.25
Stoke,1,2,0,2,4,1,Win,L Mason,2.05,3.5,4.0,2.0,3.4,3.9
Sunderland,1,2,0,2,5,1,Win,G Scott,1.45,4.5,8.5,1.42,4.6,7.75
Everton,0,4,2,-2,0,0,Loss,R Madley,1.75,3.9,5.0,1.72,3.6,5.25
Crystal Palace,0,2,2,0,0,0,Draw,M Dean,1.73,3.6,4.75,1.8,3.5,4.4
Arsenal,0,1,0,-1,0,0,Loss,M Jones,1.6,4.5,5.75,1.57,4.33,5.5
West Brom,0,0,1,1,1,0,Win,M Clattenburg,2.4,3.5,2.75,2.4,3.3,2.85
Watford,1,3,0,3,2,0,Win,R East,1.57,4.2,6.5,1.57,4.1,6.0
Man City,0,2,1,-1,0,0,Loss,R Madley,1.25,7.0,12.0,1.25,6.25,11.5
Tottenham,1,1,6,-5,0,0,Loss,M Oliver,4.5,3.8,1.85,4.25,3.6,1.85
Bournemouth,1,1,1,0,0,0,Draw,l Mason,2.0,3.6,4.0,1.91,3.7,3.9
