Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Everton,1,1,1,0,0,0,Draw,A Marriner,2.9,3.5,2.37,2.95,3.5,2.35
Leicester,0,4,1,-3,0,0,Loss,D Coote,1.53,4.33,6.0,1.53,4.5,5.75
Liverpool,1,0,2,-2,0,0,Loss,J Moss,8.5,5.5,1.33,8.25,5.5,1.34
Brighton,1,3,3,0,0,0,Draw,M Oliver,2.6,3.3,2.75,2.5,3.4,2.8
Man City,0,2,0,-2,0,0,Loss,K Friend,1.12,9.5,17.0,1.13,9.0,18.0
Liverpool,0,3,2,-1,0,0,Loss,J Moss,1.16,8.0,15.0,1.17,7.5,16.0
Southampton,1,3,1,2,1,0,Win,A Taylor,2.65,3.6,2.5,2.65,3.6,2.55
Arsenal,0,1,0,-1,0,0,Loss,M Atkinson,1.57,4.4,5.5,1.53,4.33,6.0
Wolves,1,0,2,-2,0,0,Loss,A Taylor,3.6,3.4,2.1,3.6,3.4,2.1
Tottenham,0,2,0,-2,0,0,Loss,C Pawson,1.66,4.0,5.0,1.65,4.1,5.0
Chelsea,1,3,2,1,1,0,Win,M Atkinson,5.5,4.33,1.57,5.25,4.2,1.62
Newcastle,0,2,2,0,0,0,Draw,C Pawson,2.6,3.3,2.75,2.65,3.25,2.75
Burnley,1,0,1,-1,0,0,Loss,M Oliver,2.0,3.4,3.9,2.0,3.4,3.9
Norwich,0,0,4,4,1,0,Win,K Friend,3.75,3.75,1.95,3.8,3.6,1.95
Watford,1,3,1,2,2,0,Win,M Atkinson,2.4,3.0,3.3,2.35,3.1,3.3
Man United,0,1,1,0,0,0,Draw,P Tierney,1.22,6.5,11.0,1.25,6.25,11.5
Aston Villa,1,1,1,0,0,0,Draw,M Oliver,3.0,3.6,2.3,3.0,3.5,2.3
Chelsea,0,2,1,-1,0,0,Loss,A Taylor,1.65,4.0,6.0,1.6,3.75,5.5
Bournemouth,1,1,0,1,1,0,Win,C Pawson,1.95,3.75,4.0,1.91,3.6,4.0
Man City,0,3,1,-2,0,0,Loss,A Marriner,1.25,6.0,11.0,1.28,6.0,10.0
Watford,1,2,4,-2,0,0,Loss,M Atkinson,1.91,3.6,4.5,1.83,3.5,4.5
West Brom,0,4,2,-2,0,0,Loss,M Clattenburg,2.8,3.2,2.8,2.75,3.1,2.75
Southampton,1,0,3,-3,0,0,Loss,J Moss,2.8,3.3,2.75,2.8,3.3,2.7
Middlesbrough,1,1,1,0,0,0,Draw,N Swarbrick,2.25,3.4,3.5,2.1,3.4,3.6
Crystal Palace,0,0,1,1,1,0,Win,M Atkinson,2.15,3.5,3.6,2.0,3.5,3.75
Sunderland,1,1,0,1,2,0,Win,R Madley,1.67,4.0,5.75,1.7,3.8,5.0
Everton,0,2,0,-2,0,0,Loss,A Taylor,1.8,3.8,4.75,1.8,3.9,4.5
Stoke,1,1,1,0,0,0,Draw,A Marriner,2.0,3.6,4.0,2.0,3.5,3.8
Tottenham,0,3,2,-1,0,0,Loss,M Dean,1.5,4.5,7.5,1.5,4.25,6.75
Man United,0,1,1,0,0,0,Draw,J Moss,1.45,4.75,8.0,1.48,4.5,6.75
Arsenal,1,1,5,-4,0,0,Loss,C Pawson,4.75,4.2,1.75,4.75,4.0,1.75
Liverpool,0,2,2,0,0,0,Draw,M Clattenburg,1.3,6.0,11.0,1.3,5.75,9.0
Burnley,1,1,0,1,1,0,Win,R Madley,1.67,4.0,5.75,1.6,4.1,5.5
Hull,1,1,0,1,2,0,Win,L Mason,1.62,4.1,6.0,1.65,4.1,5.0
Swansea,0,1,4,3,3,1,Win,A Marriner,2.63,3.2,2.8,2.6,3.2,2.7
Leicester,0,1,0,-1,0,0,Loss,A Taylor,2.1,3.6,3.7,2.05,3.5,3.6
Man United,1,0,2,-2,0,0,Loss,M Dean,6.0,4.0,1.65,5.5,4.0,1.62
Crystal Palace,1,3,0,3,1,0,Win,N Swarbrick,2.38,3.4,3.2,2.35,3.3,3.1
Middlesbrough,0,1,3,2,2,0,Win,M Atkinson,2.5,3.2,3.25,2.45,3.1,3.1
Man City,1,0,4,-4,0,0,Loss,K Friend,6.0,4.5,1.57,5.5,4.33,1.57
Southampton,0,1,3,2,1,0,Win,G Scott,1.85,3.75,4.5,1.8,3.6,4.6
West Brom,1,2,2,0,0,0,Draw,M Oliver,2.25,3.3,3.6,2.15,3.3,3.5
Watford,0,1,1,0,0,0,Draw,C Pawson,2.63,3.3,2.9,2.55,3.25,2.85
Chelsea,1,1,2,-1,0,0,Loss,A Marriner,6.0,4.1,1.62,5.75,4.0,1.6
Bournemouth,0,3,2,-1,0,0,Loss,R Madley,2.6,3.5,2.8,2.5,3.4,2.8
Leicester,1,2,3,-1,0,0,Loss,R East,2.3,3.5,3.3,2.25,3.4,3.25
Hull,0,2,1,-1,0,0,Loss,M Jones,2.45,3.4,3.1,2.4,3.3,3.0
Arsenal,0,3,0,-3,0,0,Loss,M Atkinson,1.4,5.25,8.0,1.36,5.25,8.0
Swansea,1,1,0,1,1,0,Win,K Friend,2.1,3.6,3.7,2.05,3.6,3.5
Sunderland,0,2,2,0,0,0,Draw,A Marriner,3.3,3.25,2.2,3.2,3.4,2.15
Everton,1,0,0,0,0,0,Draw,R East,3.3,3.6,2.25,3.3,3.4,2.2
Stoke,0,0,0,0,0,0,Draw,L Probert,2.0,3.5,3.6,2.15,3.3,3.3
Tottenham,1,1,0,1,1,0,Win,A Taylor,8.5,5.25,1.4,8.0,5.25,1.36
Liverpool,1,0,4,-4,0,0,Loss,N Swarbrick,5.25,4.0,1.7,5.5,3.75,1.65
