Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
West Brom,1,2,2,0,0,0,Draw
Watford,0,0,1,1,1,0,Win
Newcastle,1,1,0,1,2,0,Win
Crystal Palace,0,0,1,1,3,1,Win
Southampton,1,1,0,1,4,1,Win
Sunderland,0,0,2,2,5,1,Win
West Ham,1,2,2,0,0,0,Draw
Swansea,1,4,0,4,1,0,Win
Man United,0,1,1,0,0,0,Draw
Everton,1,3,1,2,1,0,Win
Chelsea,0,1,1,0,0,0,Draw
Hull,0,2,1,-1,0,0,Loss
Arsenal,1,0,0,0,0,0,Draw
Swansea,1,2,1,1,1,0,Win
Liverpool,0,4,1,-3,0,0,Loss
Burnley,1,3,0,3,1,0,Win
Man United,0,4,1,-3,0,0,Loss
Southampton,1,0,0,0,0,0,Draw
Chelsea,0,3,0,-3,0,0,Loss
Crystal Palace,1,3,1,2,1,0,Win
Tottenham,0,1,1,0,0,0,Draw
West Brom,1,1,2,-1,0,0,Loss
Watford,0,2,1,-1,0,0,Loss
Middlesbrough,1,2,2,0,0,0,Draw
Sunderland,0,2,1,-1,0,0,Loss
Man City,1,4,2,2,1,0,Win
Bournemouth,0,1,0,-1,0,0,Loss
Stoke,0,2,2,0,0,0,Draw
Everton,1,0,2,-2,0,0,Loss
West Ham,1,1,0,1,1,0,Win
Middlesbrough,0,0,0,0,0,0,Draw
Chelsea,1,0,3,-3,0,0,Loss
Southampton,0,3,0,-3,0,0,Loss
Burnley,0,1,0,-1,0,0,Loss
Man United,1,0,3,-3,0,0,Loss
Swansea,0,2,0,-2,0,0,Loss
Liverpool,1,3,1,2,1,0,Win
Hull,1,3,1,2,2,0,Win
West Ham,0,2,3,1,3,1,Win
Stoke,1,2,0,2,4,1,Win
Sunderland,1,2,0,2,5,1,Win
Everton,0,4,2,-2,0,0,Loss
Crystal Palace,0,2,2,0,0,0,Draw
Arsenal,0,1,0,-1,0,0,Loss
West Brom,0,0,1,1,1,0,Win
Watford,1,3,0,3,2,0,Win
Man City,0,2,1,-1,0,0,Loss
Tottenham,1,1,6,-5,0,0,Loss
